feature_a,feature_b,mean_abs_interaction,share_of_total_abs_shap
Plasticizing_Position,Barrel_Temperature_3,0.008023764164636021,0.0017208034258604393
Max_Switch_Over_Pressure,Barrel_Temperature_5,0.007895343642315242,0.0016932619290983134
Cycle_Time,Barrel_Temperature_1,0.007608774868752723,0.0016318034269324068
Max_Back_Pressure,Barrel_Temperature_3,0.007564406055164909,0.0016222879420730962
Max_Injection_Speed,Barrel_Temperature_6,0.007450282381133202,0.0015978125954382726
Max_Injection_Speed,Max_Switch_Over_Pressure,0.0063453967832246185,0.0013608551172455924
Barrel_Temperature_3,Barrel_Temperature_6,0.0061729890121315365,0.0013238799672967035
Max_Back_Pressure,Barrel_Temperature_5,0.005705856151363479,0.0012236970842198892
Barrel_Temperature_2,Barrel_Temperature_5,0.005635295609758422,0.0012085644333551368
Cushion_Position,Average_Back_Pressure,0.005287257354085408,0.0011339229794933405
Max_Back_Pressure,Hopper_Temperature,0.0049145371068844736,0.0010539881427869314
Max_Screw_RPM,Barrel_Temperature_3,0.004895719159470382,0.0010499523825485445
Plasticizing_Time,Mold_Temperature_3,0.004827312194718409,0.001035281595012599
Plasticizing_Time,Barrel_Temperature_6,0.004786588383978632,0.0010265478297127712
Barrel_Temperature_1,Barrel_Temperature_2,0.004345224590344167,0.0009318914673679787
Barrel_Temperature_6,Mold_Temperature_4,0.004268477295030575,0.0009154319845128838
Max_Injection_Speed,Barrel_Temperature_2,0.003993187900357816,0.0008563924958469778
Max_Switch_Over_Pressure,Barrel_Temperature_1,0.003630612298799437,0.0007786333139352086
Plasticizing_Time,Max_Switch_Over_Pressure,0.003533185927905662,0.000757738927041079
Max_Back_Pressure,Barrel_Temperature_4,0.0035046212850952303,0.0007516128577551305
Average_Screw_RPM,Barrel_Temperature_6,0.0033247223734297207,0.0007130311326257982
Plasticizing_Position,Barrel_Temperature_6,0.0031635354416612127,0.0006784624415850436
Plasticizing_Time,Average_Screw_RPM,0.00311753127830986,0.0006685962341200038
Plasticizing_Time,Cycle_Time,0.0029609753269918995,0.0006350207187086522
Plasticizing_Time,Mold_Temperature_4,0.0027798676488278375,0.0005961797574540931
Cycle_Time,Barrel_Temperature_2,0.0027418111191527474,0.0005880180262145477
Max_Screw_RPM,Average_Back_Pressure,0.00213225082760584,0.00045728967771877795
Clamp_Close_Time,Barrel_Temperature_5,0.0021304748899633095,0.00045690880416408776
Cycle_Time,Plasticizing_Position,0.002063190791980279,0.0004424788304086988
Max_Switch_Over_Pressure,Barrel_Temperature_3,0.0018963640010947582,0.000406700596229488
Max_Switch_Over_Pressure,Hopper_Temperature,0.0016765029655994486,0.00035954845973461947
Plasticizing_Time,Max_Screw_RPM,0.0016259624544875068,0.0003487093718848693
Barrel_Temperature_2,Mold_Temperature_4,0.0014404015268238905,0.0003089133517779054
Plasticizing_Time,Cushion_Position,0.0011604953600214266,0.00024888373464682995
Average_Screw_RPM,Hopper_Temperature,0.0011085098688212317,0.00023773475151163195
Cycle_Time,Barrel_Temperature_3,0.001052202468017023,0.00022565887711938223
Max_Injection_Pressure,Barrel_Temperature_5,0.000889142906057082,0.0001906885755149734
Cushion_Position,Barrel_Temperature_3,0.0008562314127392753,0.0001836302660620268
Clamp_Close_Time,Barrel_Temperature_3,0.0007821184469842019,0.000167735750376471
Barrel_Temperature_4,Mold_Temperature_3,0.0006886696298124497,0.00014769440301976543
Max_Switch_Over_Pressure,Mold_Temperature_4,0.0006589656336450136,0.00014132398418418288
Barrel_Temperature_1,Barrel_Temperature_5,0.000596722814157214,0.00012797517995562826
Cushion_Position,Mold_Temperature_3,0.00030068230511784205,6.44853375704703e-05
Max_Switch_Over_Pressure,Mold_Temperature_3,0.00019375986293845344,4.1554391317764354e-05
Cushion_Position,Barrel_Temperature_5,1.101230513187238e-05,2.361735964407686e-06
Clamp_Close_Time,Max_Switch_Over_Pressure,9.735627614236336e-06,2.0879354138194993e-06
Max_Injection_Speed,Barrel_Temperature_3,1.8954275543350647e-18,4.0649976271056196e-19
Plasticizing_Position,Barrel_Temperature_1,0.0,0.0
Plasticizing_Position,Max_Back_Pressure,0.0,0.0
Plasticizing_Position,Max_Switch_Over_Pressure,0.0,0.0
Plasticizing_Position,Max_Injection_Pressure,0.0,0.0
Plasticizing_Position,Max_Screw_RPM,0.0,0.0
Plasticizing_Position,Average_Screw_RPM,0.0,0.0
Plasticizing_Position,Max_Injection_Speed,0.0,0.0
Cushion_Position,Mold_Temperature_4,0.0,0.0
Cushion_Position,Barrel_Temperature_2,0.0,0.0
Cushion_Position,Hopper_Temperature,0.0,0.0
Cushion_Position,Barrel_Temperature_4,0.0,0.0
Cushion_Position,Max_Screw_RPM,0.0,0.0
Cushion_Position,Max_Injection_Pressure,0.0,0.0
Cushion_Position,Max_Switch_Over_Pressure,0.0,0.0
Cushion_Position,Max_Back_Pressure,0.0,0.0
Cushion_Position,Barrel_Temperature_1,0.0,0.0
Clamp_Close_Time,Barrel_Temperature_6,0.0,0.0
Cushion_Position,Average_Screw_RPM,0.0,0.0
Cushion_Position,Max_Injection_Speed,0.0,0.0
Cushion_Position,Plasticizing_Position,0.0,0.0
Cycle_Time,Cushion_Position,0.0,0.0
Cycle_Time,Max_Injection_Speed,0.0,0.0
Cycle_Time,Mold_Temperature_4,0.0,0.0
Cycle_Time,Mold_Temperature_3,0.0,0.0
Clamp_Close_Time,Max_Injection_Speed,0.0,0.0
Clamp_Close_Time,Plasticizing_Position,0.0,0.0
Clamp_Close_Time,Cushion_Position,0.0,0.0
Clamp_Close_Time,Average_Screw_RPM,0.0,0.0
Clamp_Close_Time,Max_Injection_Pressure,0.0,0.0
Clamp_Close_Time,Max_Back_Pressure,0.0,0.0
Clamp_Close_Time,Barrel_Temperature_1,0.0,0.0
Clamp_Close_Time,Barrel_Temperature_2,0.0,0.0
Cycle_Time,Average_Screw_RPM,0.0,0.0
Cycle_Time,Max_Screw_RPM,0.0,0.0
Cycle_Time,Max_Back_Pressure,0.0,0.0
Cycle_Time,Max_Switch_Over_Pressure,0.0,0.0
Cycle_Time,Clamp_Close_Time,0.0,0.0
Filling_Time,Cycle_Time,0.0,0.0
Filling_Time,Plasticizing_Time,0.0,0.0
Injection_Time,Mold_Temperature_4,0.0,0.0
Injection_Time,Mold_Temperature_3,0.0,0.0
Injection_Time,Hopper_Temperature,0.0,0.0
Injection_Time,Barrel_Temperature_6,0.0,0.0
Injection_Time,Barrel_Temperature_5,0.0,0.0
Injection_Time,Barrel_Temperature_4,0.0,0.0
Injection_Time,Barrel_Temperature_3,0.0,0.0
Injection_Time,Barrel_Temperature_2,0.0,0.0
Filling_Time,Average_Screw_RPM,0.0,0.0
Plasticizing_Time,Clamp_Close_Time,0.0,0.0
Filling_Time,Mold_Temperature_4,0.0,0.0
Filling_Time,Mold_Temperature_3,0.0,0.0
Filling_Time,Hopper_Temperature,0.0,0.0
Filling_Time,Barrel_Temperature_5,0.0,0.0
Filling_Time,Barrel_Temperature_6,0.0,0.0
Filling_Time,Barrel_Temperature_4,0.0,0.0
Filling_Time,Barrel_Temperature_3,0.0,0.0
Filling_Time,Max_Back_Pressure,0.0,0.0
Filling_Time,Barrel_Temperature_2,0.0,0.0
Filling_Time,Barrel_Temperature_1,0.0,0.0
Filling_Time,Average_Back_Pressure,0.0,0.0
Filling_Time,Max_Injection_Pressure,0.0,0.0
Filling_Time,Max_Switch_Over_Pressure,0.0,0.0
Plasticizing_Time,Max_Injection_Pressure,0.0,0.0
Plasticizing_Time,Barrel_Temperature_1,0.0,0.0
Injection_Time,Average_Back_Pressure,0.0,0.0
Injection_Time,Max_Back_Pressure,0.0,0.0
Injection_Time,Max_Switch_Over_Pressure,0.0,0.0
Injection_Time,Max_Injection_Pressure,0.0,0.0
Injection_Time,Average_Screw_RPM,0.0,0.0
Injection_Time,Max_Screw_RPM,0.0,0.0
Injection_Time,Max_Injection_Speed,0.0,0.0
Injection_Time,Plasticizing_Position,0.0,0.0
Injection_Time,Cushion_Position,0.0,0.0
Injection_Time,Clamp_Close_Time,0.0,0.0
Injection_Time,Cycle_Time,0.0,0.0
Injection_Time,Plasticizing_Time,0.0,0.0
Injection_Time,Filling_Time,0.0,0.0
Injection_Time,Barrel_Temperature_1,0.0,0.0
Filling_Time,Max_Injection_Speed,0.0,0.0
Filling_Time,Max_Screw_RPM,0.0,0.0
Filling_Time,Cushion_Position,0.0,0.0
Filling_Time,Plasticizing_Position,0.0,0.0
Filling_Time,Clamp_Close_Time,0.0,0.0
Max_Switch_Over_Pressure,Max_Back_Pressure,0.0,0.0
Max_Injection_Pressure,Barrel_Temperature_4,0.0,0.0
Max_Injection_Pressure,Mold_Temperature_4,0.0,0.0
Max_Injection_Pressure,Mold_Temperature_3,0.0,0.0
Max_Injection_Pressure,Hopper_Temperature,0.0,0.0
Max_Injection_Speed,Barrel_Temperature_1,0.0,0.0
Max_Injection_Speed,Max_Back_Pressure,0.0,0.0
Max_Screw_RPM,Average_Screw_RPM,0.0,0.0
Max_Screw_RPM,Max_Injection_Pressure,0.0,0.0
Max_Screw_RPM,Max_Back_Pressure,0.0,0.0
Max_Screw_RPM,Max_Switch_Over_Pressure,0.0,0.0
Max_Screw_RPM,Barrel_Temperature_1,0.0,0.0
Max_Screw_RPM,Barrel_Temperature_4,0.0,0.0
Max_Injection_Speed,Max_Injection_Pressure,0.0,0.0
Plasticizing_Position,Barrel_Temperature_4,0.0,0.0
Plasticizing_Position,Mold_Temperature_3,0.0,0.0
Max_Injection_Speed,Max_Screw_RPM,0.0,0.0
Max_Injection_Speed,Average_Screw_RPM,0.0,0.0
Max_Injection_Pressure,Barrel_Temperature_6,0.0,0.0
Max_Injection_Pressure,Barrel_Temperature_1,0.0,0.0
Max_Injection_Pressure,Barrel_Temperature_2,0.0,0.0
Average_Screw_RPM,Mold_Temperature_4,0.0,0.0
Average_Screw_RPM,Mold_Temperature_3,0.0,0.0
Max_Injection_Pressure,Max_Switch_Over_Pressure,0.0,0.0
Max_Injection_Pressure,Max_Back_Pressure,0.0,0.0
Average_Screw_RPM,Barrel_Temperature_3,0.0,0.0
Average_Screw_RPM,Barrel_Temperature_2,0.0,0.0
Average_Screw_RPM,Barrel_Temperature_5,0.0,0.0
Average_Screw_RPM,Barrel_Temperature_4,0.0,0.0
Max_Screw_RPM,Barrel_Temperature_5,0.0,0.0
Max_Screw_RPM,Barrel_Temperature_6,0.0,0.0
Average_Screw_RPM,Max_Injection_Pressure,0.0,0.0
Max_Screw_RPM,Mold_Temperature_3,0.0,0.0
Average_Screw_RPM,Barrel_Temperature_1,0.0,0.0
Average_Screw_RPM,Average_Back_Pressure,0.0,0.0
Average_Screw_RPM,Max_Switch_Over_Pressure,0.0,0.0
Average_Screw_RPM,Max_Back_Pressure,0.0,0.0
Max_Back_Pressure,Mold_Temperature_4,0.0,0.0
Max_Switch_Over_Pressure,Barrel_Temperature_2,0.0,0.0
Max_Switch_Over_Pressure,Barrel_Temperature_6,0.0,0.0
Max_Back_Pressure,Barrel_Temperature_6,0.0,0.0
Barrel_Temperature_2,Mold_Temperature_3,0.0,0.0
Barrel_Temperature_1,Mold_Temperature_4,0.0,0.0
Barrel_Temperature_1,Barrel_Temperature_6,0.0,0.0
Barrel_Temperature_1,Mold_Temperature_3,0.0,0.0
