algo,imbalance,fold,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80,thr_Cost5,f1_Cost5,recall_Cost5,precision_Cost5,flag_rate_Cost5,thr_Cost10,f1_Cost10,recall_Cost10,precision_Cost10,flag_rate_Cost10,thr_Cost20,f1_Cost20,recall_Cost20,precision_Cost20,flag_rate_Cost20,cost100_Cost5,cost100_inspect_all_r5,cost100_inspect_none_r5,cost100_Cost10,cost100_inspect_all_r10,cost100_inspect_none_r10,cost100_Cost20,cost100_inspect_all_r20,cost100_inspect_none_r20
SoftVote(LogReg+RF+HGB),class_weight,0,0.11560163850486431,0.6929824561403508,0.04201680672268908,119,5,0.2,0.2,0.6,0.09138045414884732,0.09615384615384616,1.0,0.050505050505050504,0.8319327731092437,0.028715913309585926,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.008403361344538,95.7983193277311,21.008403361344538,42.016806722689076,95.7983193277311,42.016806722689076,84.03361344537815,95.7983193277311,84.03361344537815
SoftVote(LogReg+RF+HGB),class_weight,1,0.03596917923050038,0.30265486725663715,0.0423728813559322,118,5,0.0,0.0,0.0,0.24723187513832223,0.037037037037037035,0.2,0.02040816326530612,0.4152542372881356,0.09527777785864237,0.06315789473684211,0.6,0.03333333333333333,0.7627118644067796,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.24723187513832223,0.037037037037037035,0.2,0.02040816326530612,0.4152542372881356,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,108.47457627118644,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,2,0.03515767253747784,0.31327433628318585,0.0423728813559322,118,5,0.0,0.0,0.0,0.033207662281151296,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.03876456666153601,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,84.7457627118644,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,3,0.1298132708007643,0.37168141592920356,0.0423728813559322,118,5,0.2,0.2,0.2,0.004660661088583188,0.08130081300813008,1.0,0.0423728813559322,1.0,0.036814920422203405,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,84.7457627118644,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,4,0.043359705961347736,0.44070796460176986,0.0423728813559322,118,5,0.0,0.0,0.0,0.11809634147871034,0.08602150537634409,0.8,0.045454545454545456,0.7457627118644068,0.0618601012512503,0.08849557522123894,1.0,0.046296296296296294,0.9152542372881356,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.11809634147871034,0.08602150537634409,0.8,0.045454545454545456,0.7457627118644068,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,88.13559322033899,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,5,0.12326183054216606,0.624561403508772,0.04201680672268908,119,5,0.2,0.2,0.2,0.26846557596833676,0.125,0.4,0.07407407407407407,0.226890756302521,0.08038811438044792,0.07339449541284404,0.8,0.038461538461538464,0.8739495798319328,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.15597870251061405,0.10810810810810811,0.8,0.057971014492753624,0.5798319327731093,21.008403361344538,95.7983193277311,21.008403361344538,42.016806722689076,95.7983193277311,42.016806722689076,71.42857142857143,95.7983193277311,84.03361344537815
SoftVote(LogReg+RF+HGB),class_weight,6,0.03521586212167586,0.30265486725663715,0.0423728813559322,118,5,0.0,0.0,0.0,0.17986803212303423,0.038461538461538464,0.2,0.02127659574468085,0.3983050847457627,0.14874361777479259,0.05970149253731343,0.4,0.03225806451612903,0.5254237288135594,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.14874361777479259,0.05970149253731343,0.4,0.03225806451612903,0.5254237288135594,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,101.69491525423729,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,7,0.05014351808138986,0.5221238938053097,0.0423728813559322,118,5,0.0,0.0,0.0,0.1364537606036755,0.09523809523809523,0.8,0.05063291139240506,0.6694915254237288,0.06659094512999293,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,0.1364537606036755,0.09523809523809523,0.8,0.05063291139240506,0.6694915254237288,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,80.50847457627118,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,8,0.07104251012145749,0.6353982300884956,0.0423728813559322,118,5,0.0,0.0,0.4,0.007795368206673939,0.08130081300813008,1.0,0.0423728813559322,1.0,0.030436825402976094,0.08130081300813008,1.0,0.0423728813559322,1.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,1.000000001,0.0,0.0,0.0,0.0,21.1864406779661,95.76271186440678,21.1864406779661,42.3728813559322,95.76271186440678,42.3728813559322,84.7457627118644,95.76271186440678,84.7457627118644
SoftVote(LogReg+RF+HGB),class_weight,9,0.06403562539155759,0.5433628318584072,0.0423728813559322,118,5,0.0,0.2,0.2,0.040444570950748916,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695,0.04592360306764271,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695,0.5722523608267014,0.0,0.0,0.0,0.00847457627118644,0.5722523608267014,0.0,0.0,0.0,0.00847457627118644,0.5722523608267014,0.0,0.0,0.0,0.00847457627118644,22.033898305084747,95.76271186440678,21.1864406779661,43.220338983050844,95.76271186440678,42.3728813559322,85.59322033898304,95.76271186440678,84.7457627118644
