algo,imbalance,fold,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,repeat
LogReg,class_weight,0,0.080211151918469,0.6473684210526316,0.04201680672268908,119,5,0.0,0.0,0.4,0.9541157733240686,0.0,0.0,0.0,0.019525668134094433,0.08130081300813008,1.0,0.0423728813559322,0
LogReg,class_weight,1,0.034037935370214434,0.2867256637168142,0.0423728813559322,118,5,0.0,0.0,0.0,0.6490475778270024,0.0,0.0,0.0,0.14693663840694451,0.06315789473684211,0.6,0.03333333333333333,0
LogReg,class_weight,2,0.034445998735279815,0.2584070796460177,0.0423728813559322,118,5,0.0,0.0,0.0,0.06369531952243211,0.06837606837606838,0.8,0.03571428571428571,0.07983365290613809,0.07017543859649122,0.8,0.03669724770642202,0
LogReg,class_weight,3,0.03594367087666057,0.3309734513274336,0.0423728813559322,118,5,0.0,0.0,0.0,0.028160040642146427,0.08130081300813008,1.0,0.0423728813559322,0.03581046687025423,0.08130081300813008,1.0,0.0423728813559322,0
LogReg,class_weight,4,0.05566884604528119,0.5168141592920354,0.0423728813559322,118,5,0.0,0.0,0.2,0.24076001945708955,0.06818181818181818,0.6,0.03614457831325301,0.055040523546574106,0.0847457627118644,1.0,0.04424778761061947,0
LogReg,class_weight,5,0.0735494494827634,0.6140350877192984,0.04201680672268908,119,5,0.0,0.0,0.4,0.41452864439859854,0.125,0.8,0.06779661016949153,0.09245708016684046,0.08264462809917356,1.0,0.04310344827586207,1
LogReg,class_weight,6,0.03475519746804475,0.2761061946902655,0.0423728813559322,118,5,0.0,0.0,0.0,0.31216149737708687,0.03225806451612903,0.2,0.017543859649122806,0.24382417541005194,0.02857142857142857,0.2,0.015384615384615385,1
LogReg,class_weight,7,0.04969312537001394,0.4920353982300885,0.0423728813559322,118,5,0.0,0.0,0.2,0.26350952578437076,0.08888888888888889,0.8,0.047058823529411764,0.12431462378471843,0.08695652173913043,1.0,0.045454545454545456,1
LogReg,class_weight,8,0.06207588523114831,0.5929203539823009,0.0423728813559322,118,5,0.0,0.0,0.2,0.004644391320377484,0.08130081300813008,1.0,0.0423728813559322,0.018669643564031446,0.08130081300813008,1.0,0.0423728813559322,1
LogReg,class_weight,9,0.061478562918040436,0.5628318584070797,0.0423728813559322,118,5,0.0,0.0,0.2,0.014076162520992034,0.08196721311475409,1.0,0.042735042735042736,0.049286711751519115,0.08333333333333333,1.0,0.043478260869565216,1
LogReg,class_weight,10,0.04223925865062838,0.4280701754385965,0.04201680672268908,119,5,0.0,0.0,0.0,0.0029438244797603368,0.08064516129032258,1.0,0.04201680672268908,0.03961684539794043,0.08064516129032258,1.0,0.04201680672268908,2
LogReg,class_weight,11,0.045293905446566626,0.46371681415929206,0.0423728813559322,118,5,0.0,0.0,0.0,0.003469453473283968,0.08196721311475409,1.0,0.042735042735042736,0.027100925710142724,0.08196721311475409,1.0,0.042735042735042736,2
LogReg,class_weight,12,0.04952909602882085,0.4867256637168142,0.0423728813559322,118,5,0.0,0.0,0.0,0.5848196892989735,0.11428571428571428,0.4,0.06666666666666667,0.1089700413258102,0.09174311926605505,1.0,0.04807692307692308,2
LogReg,class_weight,13,0.0349891265357367,0.2778761061946903,0.0423728813559322,118,5,0.0,0.0,0.0,0.028636056744038147,0.06557377049180328,0.8,0.03418803418803419,0.12051949827964133,0.042105263157894736,0.4,0.022222222222222223,2
LogReg,class_weight,14,0.04504228973635607,0.44070796460177,0.0423728813559322,118,5,0.0,0.0,0.2,0.8745266126159067,0.0,0.0,0.0,0.024447521336800605,0.08264462809917356,1.0,0.04310344827586207,2
LogReg,class_weight,15,0.04327931674106688,0.44385964912280707,0.04201680672268908,119,5,0.0,0.0,0.0,0.04138559584357847,0.08547008547008547,1.0,0.044642857142857144,0.09782329279031989,0.09259259259259259,1.0,0.04854368932038835,3
LogReg,class_weight,16,0.05693306752130281,0.49557522123893805,0.0423728813559322,118,5,0.0,0.0,0.2,0.005771333654095007,0.08130081300813008,1.0,0.0423728813559322,0.025711200066175496,0.08130081300813008,1.0,0.0423728813559322,3
LogReg,class_weight,17,0.03170638676194788,0.23893805309734514,0.0423728813559322,118,5,0.0,0.0,0.0,0.8315946341922787,0.0,0.0,0.0,0.05032139049588989,0.08264462809917356,1.0,0.04310344827586207,3
LogReg,class_weight,18,0.09804149151975239,0.5946902654867257,0.0423728813559322,118,5,0.0,0.4,0.6,0.004494373070219258,0.08130081300813008,1.0,0.0423728813559322,0.05691907101553155,0.08130081300813008,1.0,0.0423728813559322,3
LogReg,class_weight,19,0.05338687725280806,0.5185840707964602,0.0423728813559322,118,5,0.0,0.0,0.2,0.00628803974668182,0.08196721311475409,1.0,0.042735042735042736,0.043150222974205614,0.08264462809917356,1.0,0.04310344827586207,3
LogReg,class_weight,20,0.04483302145211155,0.45614035087719307,0.04201680672268908,119,5,0.0,0.0,0.0,0.003249486170762478,0.08064516129032258,1.0,0.04201680672268908,0.042772080282160625,0.08130081300813008,1.0,0.0423728813559322,4
