algo,twin_in_train,mean,std,size
LogReg,False,0.4716377522142608,0.29733491467400786,48
LogReg,True,0.44831124122264443,0.26215365353113557,202
RF,False,0.5736506070557795,0.28906110376862726,48
RF,True,0.5123085276507946,0.2890087212365875,202
