config,prauc_mean,prauc_std,roc_auc_mean,roc_auc_std,recall_at_50_mean,recall_at_50_std,recall_at_20_mean,recall_at_20_std,prevalence_mean,prevalence_std
규칙: 앞쪽 기록이면 1,0.03796638655462185,0.005668069002087267,0.7145369080133028,0.05460482804584773,0.92,0.10690449676496974,0.276,0.1974945103861195,0.021150833214641788,7.193793936420707e-05
LogReg 공정변수만,0.02697796207977383,0.009637764003990058,0.45839503557958494,0.11920859851302561,0.444,0.2296048068898793,0.14,0.16288220358559116,0.021150833214641788,7.193793936420707e-05
LogReg 공정변수+앞쪽여부,0.05039880611034632,0.02174456073183874,0.6848699626553705,0.0921920533585996,0.792,0.18498758921415592,0.344,0.21396165973541775,0.021150833214641788,7.193793936420707e-05
HGB 공정변수만,0.030420595682432668,0.02208678396903979,0.4562091299258681,0.1130804544927189,0.424,0.21243006051932692,0.14,0.12936264483053456,0.021150833214641788,7.193793936420707e-05
HGB 공정변수+앞쪽여부,0.054284111551305754,0.0453883746306342,0.6520281292384297,0.10289035353122014,0.7879999999999999,0.19127925946646915,0.316,0.19831947016089457,0.021150833214641788,7.193793936420707e-05
