algo,perm,roc_auc,prauc
LogReg,0,0.5456680639652227,0.1259183617209726
LogReg,1,0.6600475081509083,0.1443305899306162
LogReg,2,0.31801366247477103,0.038774240993879466
LogReg,3,0.4705303524297469,0.08699989606042802
LogReg,4,0.4958341872380065,0.06739206496580495
LogReg,5,0.6525822077317186,0.10568438022450583
LogReg,6,0.5315997515913679,0.07148026014139863
LogReg,7,0.578259587020649,0.12367924822774422
LogReg,8,0.43588821611551004,0.05089044714278797
LogReg,9,0.6277112249650676,0.09007927680901043
LogReg,10,0.5295482068001863,0.10904852280794458
LogReg,11,0.5304996118615122,0.07125760216562602
LogReg,12,0.541560316721006,0.07362692438423257
LogReg,13,0.38000186306474154,0.04967007286256136
LogReg,14,0.4222527557832635,0.05773585465768878
LogReg,15,0.5130864772550846,0.08031487129372783
LogReg,16,0.4631901878590281,0.07094601899553946
LogReg,17,0.6047005123428039,0.15954458278035397
LogReg,18,0.5869141437664959,0.13968473881191765
LogReg,19,0.4910557366868499,0.09535814611257429
LogReg,20,0.4698059307560938,0.06857273470589086
LogReg,21,0.4535845365626456,0.04893094467165383
LogReg,22,0.5300369507840397,0.07934562898589564
LogReg,23,0.5475289551311908,0.07328604776820044
LogReg,24,0.47804378202142517,0.0888591783126508
LogReg,25,0.4192367644775656,0.05220245704876167
LogReg,26,0.46989504735289556,0.08547318758377057
LogReg,27,0.5085197950628785,0.06288028889907574
LogReg,28,0.4892432852041608,0.07303799344137268
LogReg,29,0.5126030119546655,0.07899957387447924
RF,0,0.5529399161620866,0.10193820933204352
RF,1,0.5821797857475547,0.07098174484272743
RF,2,0.3341501319670859,0.04063579020086547
RF,3,0.5298419500077628,0.06323271249574926
RF,4,0.5136461729545101,0.08995181915315241
RF,5,0.4051114733736998,0.04662322685940155
RF,6,0.574339077782953,0.08638461005688435
RF,7,0.5990616363918646,0.11806491322170619
RF,8,0.5057015991305698,0.07895594640464149
RF,9,0.5728961341406614,0.07748961914959626
RF,10,0.5590897376183822,0.1168821572430838
RF,11,0.6059012575687005,0.10219709060368273
RF,12,0.571880763856544,0.0710630151216927
RF,13,0.5010714174817575,0.0676297286731603
RF,14,0.4786163639186462,0.07960896184636752
RF,15,0.5587026859183356,0.08329810299039198
RF,16,0.540422449930135,0.08063855176842205
RF,17,0.6035418413289863,0.14851783495720258
RF,18,0.4867481757491074,0.07772642388126366
RF,19,0.5590041918956684,0.09979816767413217
RF,20,0.6194519484552089,0.098274661250906
RF,21,0.4728913212234125,0.06165140364905934
RF,22,0.6077113802204627,0.11932047734689592
RF,23,0.5108416394969725,0.06597621591907955
RF,24,0.5460920664493091,0.06963020284049123
RF,25,0.45341608445893505,0.05660040383578867
RF,26,0.4543969880453346,0.08248671871347829
RF,27,0.42229250116441547,0.051547610333450365
RF,28,0.5425381151995032,0.07935821381145813
RF,29,0.5198217668063965,0.07107098286077483
HGB,0,0.5023493246390313,0.09866409787330703
HGB,1,0.5581658127619934,0.06548323038199785
HGB,2,0.3687591988821612,0.05336681165098923
HGB,3,0.453672100605496,0.05494341995423716
HGB,4,0.5242378512653315,0.08254249195965756
HGB,5,0.38397515913678004,0.04783349646248622
HGB,6,0.5441769911504425,0.07302537724512971
HGB,7,0.5797071883247943,0.09645786203374343
HGB,8,0.503414997671169,0.06353492951454015
HGB,9,0.6170625679242353,0.09457762981760406
HGB,10,0.5351616208663251,0.09188651203714175
HGB,11,0.5679211302592765,0.10873461264147868
HGB,12,0.5693091134916939,0.07007652149288124
HGB,13,0.47279863375252296,0.06439119819779603
HGB,14,0.455865859338612,0.06618903870239146
HGB,15,0.501939139885111,0.07528082273781135
HGB,16,0.5462440614811365,0.07456158303724347
HGB,17,0.5668638410184754,0.11975032494912523
HGB,18,0.5287234901412825,0.09015220441933824
HGB,19,0.5491675205713399,0.10924177554563937
HGB,20,0.6190762303990064,0.12364211021029049
HGB,21,0.46816053407855923,0.07123991829901219
HGB,22,0.5972852041608446,0.12005243673288458
HGB,23,0.45561092997981684,0.05764806052501515
HGB,24,0.4948315478962894,0.059281478440355626
HGB,25,0.5048147803136158,0.05874227802363356
HGB,26,0.4115292656419811,0.06321022199851503
HGB,27,0.4314637478652383,0.05752239183859015
HGB,28,0.5192081974848626,0.09056236833898262
HGB,29,0.5121940692439062,0.0673439952294709
