algo,imbalance,fold,n_train_normals,n_test_normals,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
IsolationForest,normal_only,0,452,114,0.10563090418353577,0.4842105263157895,0.04201680672268908,119,5,0.2,0.2,0.2,0.7491570339558821,0.1111111111111111,0.2,0.07692307692307693,0.1092436974789916,0.32686309368954,0.05555555555555555,0.6,0.02912621359223301,0.865546218487395
IsolationForest,normal_only,1,453,113,0.044224517627590526,0.44070796460176986,0.0423728813559322,118,5,0.0,0.0,0.0,0.7778772318214037,0.0,0.0,0.0,0.05084745762711865,0.31890756874820453,0.09009009009009009,1.0,0.04716981132075472,0.8983050847457628
IsolationForest,normal_only,2,453,113,0.046993732307022286,0.2920353982300885,0.0423728813559322,118,5,0.0,0.2,0.2,0.39692238630857785,0.04,0.4,0.021052631578947368,0.8050847457627118,0.40272405091468816,0.04040404040404041,0.4,0.02127659574468085,0.7966101694915254
IsolationForest,normal_only,3,453,113,0.052399267399267396,0.3699115044247788,0.0423728813559322,118,5,0.0,0.2,0.2,0.4820012953317933,0.05555555555555555,0.4,0.029850746268656716,0.5677966101694916,0.3439241870352554,0.07920792079207921,0.8,0.041666666666666664,0.8135593220338984
IsolationForest,normal_only,4,453,113,0.04935550318582526,0.5097345132743363,0.0423728813559322,118,5,0.0,0.0,0.0,0.2542190590876994,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.30597115659649093,0.08928571428571429,1.0,0.04672897196261682,0.9067796610169492
IsolationForest,normal_only,5,452,114,0.03344624107980777,0.25087719298245614,0.04201680672268908,119,5,0.0,0.0,0.0,0.747182927756416,0.0,0.0,0.0,0.09243697478991597,0.36929674640889426,0.037383177570093455,0.4,0.0196078431372549,0.8571428571428571
IsolationForest,normal_only,6,453,113,0.09413268911609433,0.31504424778761064,0.0423728813559322,118,5,0.2,0.2,0.2,0.5091279783181178,0.027777777777777776,0.2,0.014925373134328358,0.5677966101694916,0.3576236783275954,0.07079646017699115,0.8,0.037037037037037035,0.9152542372881356
IsolationForest,normal_only,7,453,113,0.06522280561654238,0.4743362831858407,0.0423728813559322,118,5,0.0,0.2,0.2,0.20228488070636094,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.33810489805621446,0.07339449541284404,0.8,0.038461538461538464,0.8813559322033898
IsolationForest,normal_only,8,453,113,0.06838509316770186,0.5079646017699115,0.0423728813559322,118,5,0.0,0.2,0.2,0.25635059940271204,0.06837606837606838,0.8,0.03571428571428571,0.9491525423728814,0.3086262501551159,0.07339449541284404,0.8,0.038461538461538464,0.8813559322033898
IsolationForest,normal_only,9,453,113,0.0465537121017197,0.4796460176991151,0.0423728813559322,118,5,0.0,0.0,0.0,0.8627705791588554,0.0,0.0,0.0,0.06779661016949153,0.2809181431184164,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695
IsolationForest,normal_only,10,452,114,0.04038194632767965,0.37017543859649127,0.04201680672268908,119,5,0.0,0.0,0.2,0.7794718884382628,0.0,0.0,0.0,0.08403361344537816,0.3220129776270227,0.07142857142857142,0.8,0.037383177570093455,0.8991596638655462
IsolationForest,normal_only,11,453,113,0.05122116905464047,0.4212389380530973,0.0423728813559322,118,5,0.0,0.2,0.2,0.7869794609984608,0.0,0.0,0.0,0.06779661016949153,0.33301299098892406,0.07476635514018691,0.8,0.0392156862745098,0.864406779661017
IsolationForest,normal_only,12,453,113,0.03788679143001214,0.3433628318584071,0.0423728813559322,118,5,0.0,0.0,0.0,0.2570401843709766,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272,0.31971132642574623,0.07207207207207207,0.8,0.03773584905660377,0.8983050847457628
IsolationForest,normal_only,13,453,113,0.165963478247509,0.631858407079646,0.0423728813559322,118,5,0.2,0.2,0.4,0.2688488769010231,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695,0.32573257674397765,0.09345794392523364,1.0,0.049019607843137254,0.864406779661017
IsolationForest,normal_only,14,453,113,0.04379679902698695,0.3380530973451328,0.0423728813559322,118,5,0.0,0.0,0.2,0.32598290402683416,0.05263157894736842,0.6,0.027522935779816515,0.923728813559322,0.35702420441300386,0.056074766355140186,0.6,0.029411764705882353,0.864406779661017
IsolationForest,normal_only,15,452,114,0.038736038304724704,0.343859649122807,0.04201680672268908,119,5,0.0,0.0,0.0,0.76609669093381,0.0,0.0,0.0,0.12605042016806722,0.34199731111164633,0.05660377358490566,0.6,0.0297029702970297,0.8487394957983193
IsolationForest,normal_only,16,453,113,0.0480328641859947,0.35752212389380533,0.0423728813559322,118,5,0.0,0.2,0.2,0.7951852349497595,0.0,0.0,0.0,0.059322033898305086,0.3875099941378115,0.0425531914893617,0.4,0.02247191011235955,0.7542372881355932
IsolationForest,normal_only,17,453,113,0.060942686728607656,0.41592920353982304,0.0423728813559322,118,5,0.0,0.2,0.2,0.20645186695461792,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.3157507792691741,0.08849557522123894,1.0,0.046296296296296294,0.9152542372881356
IsolationForest,normal_only,18,453,113,0.11050149850149851,0.6955752212389381,0.0423728813559322,118,5,0.0,0.4,0.4,0.19869760751000834,0.08130081300813008,1.0,0.0423728813559322,1.0,0.3157745693918866,0.08928571428571429,1.0,0.04672897196261682,0.9067796610169492
IsolationForest,normal_only,19,453,113,0.0352817250636894,0.31327433628318585,0.0423728813559322,118,5,0.0,0.0,0.0,0.2731297116919283,0.06837606837606838,0.8,0.03571428571428571,0.9491525423728814,0.37626107633104605,0.061224489795918366,0.6,0.03225806451612903,0.788135593220339
IsolationForest,normal_only,20,452,114,0.10695476275137292,0.48596491228070177,0.04201680672268908,119,5,0.2,0.2,0.2,0.2628593632695851,0.06722689075630252,0.8,0.03508771929824561,0.957983193277311,0.33948687393951227,0.0594059405940594,0.6,0.03125,0.8067226890756303
IsolationForest,normal_only,21,453,113,0.07026796420384412,0.4867256637168142,0.0423728813559322,118,5,0.2,0.2,0.2,0.22695244566995837,0.08403361344537816,1.0,0.043859649122807015,0.9661016949152542,0.32201828580794134,0.0761904761904762,0.8,0.04,0.847457627118644
IsolationForest,normal_only,22,453,113,0.04580275928102015,0.44424778761061945,0.0423728813559322,118,5,0.0,0.0,0.0,0.3317773144444036,0.06956521739130435,0.8,0.03636363636363636,0.9322033898305084,0.3561517108942017,0.07272727272727272,0.8,0.0380952380952381,0.8898305084745762
IsolationForest,normal_only,23,453,113,0.10303512453243319,0.4513274336283186,0.0423728813559322,118,5,0.2,0.4,0.4,0.844324926899635,0.0,0.0,0.0,0.00847457627118644,0.329249967032612,0.07407407407407407,0.8,0.038834951456310676,0.8728813559322034
IsolationForest,normal_only,24,453,113,0.03676084156131258,0.3451327433628319,0.0423728813559322,118,5,0.0,0.0,0.0,0.8107578611836856,0.0,0.0,0.0,0.09322033898305085,0.3149944314792164,0.07142857142857142,0.8,0.037383177570093455,0.9067796610169492
IsolationForest,normal_only,25,452,114,0.034738205576341614,0.31578947368421056,0.04201680672268908,119,5,0.0,0.0,0.0,0.7901001029635237,0.0,0.0,0.0,0.058823529411764705,0.33781271481812336,0.07407407407407407,0.8,0.038834951456310676,0.865546218487395
IsolationForest,normal_only,26,453,113,0.03467376013026461,0.304424778761062,0.0423728813559322,118,5,0.0,0.0,0.0,0.7306025192121219,0.0,0.0,0.0,0.1694915254237288,0.3667363199974196,0.04395604395604396,0.4,0.023255813953488372,0.7288135593220338
IsolationForest,normal_only,27,453,113,0.0425085510448016,0.4212389380530973,0.0423728813559322,118,5,0.0,0.0,0.0,0.8058405508726925,0.0,0.0,0.0,0.1016949152542373,0.32664187315768123,0.0761904761904762,0.8,0.04,0.847457627118644
IsolationForest,normal_only,28,453,113,0.23352777777777778,0.6300884955752213,0.0423728813559322,118,5,0.4,0.4,0.4,0.25107243267859936,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406,0.3099913175445201,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084
IsolationForest,normal_only,29,453,113,0.06693714135574601,0.49026548672566367,0.0423728813559322,118,5,0.0,0.2,0.4,0.29038215371087117,0.05217391304347826,0.6,0.02727272727272727,0.9322033898305084,0.33019436089754617,0.05555555555555555,0.6,0.02912621359223301,0.8728813559322034
IsolationForest,normal_only,30,452,114,0.06676682261509143,0.5333333333333334,0.04201680672268908,119,5,0.0,0.2,0.2,0.24353775827053997,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622,0.34165046430229085,0.08771929824561403,1.0,0.045871559633027525,0.9159663865546218
