algo,imbalance,f1_F1max_mean,f1_F1max_std,f1_Recall80_mean,f1_Recall80_std,n_pos_test_mean,n_pos_test_std,n_test_mean,n_test_std,prauc_mean,prauc_std,precision_F1max_mean,precision_F1max_std,precision_Recall80_mean,precision_Recall80_std,prevalence_mean,prevalence_std,recall_F1max_mean,recall_F1max_std,recall_Recall80_mean,recall_Recall80_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,recall_at_5_mean,recall_at_5_std,roc_auc_mean,roc_auc_std,thr_F1max_mean,thr_F1max_std,thr_Recall80_mean,thr_Recall80_std
LogReg,class_weight,0.06565503637555514,0.03381338575413427,0.07721997487654607,0.01246914946093516,5.0,0.0,118.2,0.40406101782088416,0.04935243886635317,0.01393266266101923,0.034692230119763884,0.01803061863248979,0.04034468478946317,0.006421728096875298,0.042301666429283576,0.00014387587872841437,0.696,0.39432711997911124,0.904,0.1862190941348608,0.024000000000000004,0.07708992893275453,0.12,0.13997084244475302,0.004,0.028284271247461894,0.436154013351964,0.11401131264158332,0.24332899084303095,0.31647350705402977,0.0709198320797102,0.04398165766391653
LogReg,ROS,0.05874675072586988,0.03625937159387143,0.07759672254967226,0.01237676707526354,5.0,0.0,118.2,0.40406101782088416,0.048820144650807286,0.013156496066893083,0.031121989049411023,0.019530007408650168,0.04051679337420393,0.006380978401305708,0.042301666429283576,0.00014387587872841437,0.64,0.427617987059879,0.92,0.18070158058105024,0.02,0.060609152673132646,0.11600000000000002,0.14049475260736283,0.004,0.028284271247461894,0.43102965378046887,0.11467801987245713,0.2607918739606712,0.3220348440140875,0.052858056266257634,0.04350817203217398
LogReg,SMOTE,0.06140023389648095,0.03604992072898999,0.075941120441716,0.01283989993422324,5.0,0.0,118.2,0.40406101782088416,0.05052053499611284,0.01724991112696571,0.03256284494145633,0.019399137693221057,0.03966168356786863,0.006637573488068704,0.042301666429283576,0.00014387587872841437,0.664,0.4265476024347776,0.8959999999999999,0.18621909413486085,0.036000000000000004,0.08750510189207746,0.136,0.15354318677193604,0.012000000000000002,0.04797958749641905,0.42917621487346685,0.12052796224349016,0.25622219998223594,0.35058915718218114,0.04269734366863493,0.03466448505739798
RF,class_weight,0.05825002921951686,0.05828765922310627,0.0768463561971635,0.022618921892660043,5.0,0.0,118.2,0.40406101782088416,0.07785463595729958,0.05511846016998756,0.03374384871774683,0.04036651853663954,0.04050861337811326,0.01188649344263114,0.042301666429283576,0.00014387587872841437,0.392,0.3978718899549533,0.76,0.25555062599997597,0.09600000000000002,0.12282391577259813,0.20400000000000001,0.1590276577151514,0.06,0.09258200997725514,0.49715339233038347,0.10986647165991978,0.13613333333333333,0.1186017555402683,0.0344,0.01224170782329161
RF,ROS,0.06026751141517554,0.059100732235728703,0.07922466965977354,0.02105395159860247,5.0,0.0,118.2,0.40406101782088416,0.07423002818754688,0.035904047414630075,0.03568403365499908,0.03808630050592676,0.041731184198753386,0.011040601340608004,0.042301666429283576,0.00014387587872841437,0.36,0.383325938999964,0.792,0.24564783154519634,0.124,0.1450685974261269,0.21600000000000003,0.17997732283455567,0.04800000000000001,0.08628382211738,0.518045955596957,0.1092104408716475,0.1116,0.08859252180988486,0.01686666666666667,0.007234648302054619
RF,SMOTE,0.05971353609842076,0.057436179449403275,0.0795974454835786,0.01979609109712022,5.0,0.0,118.2,0.40406101782088416,0.08406505293371362,0.05304697858366842,0.039602704253891084,0.04514730893943305,0.04186945758989205,0.01048504096618127,0.042301666429283576,0.00014387587872841437,0.272,0.3123577227135188,0.816,0.209333246674448,0.132,0.13767752917893436,0.20400000000000001,0.14279998856685489,0.068,0.10388376550113053,0.4971332091290172,0.1273308019945904,0.19813333333333333,0.1342606528454794,0.03606666666666667,0.01025060144245072
HGB,class_weight,0.06494132921642477,0.038083538050453496,0.07705763539595659,0.01595851596418133,5.0,0.0,118.2,0.40406101782088416,0.07672992684509182,0.05124552354317069,0.03700182696800311,0.02315624177630397,0.04036411423931006,0.008310898590025668,0.042301666429283576,0.00014387587872841437,0.424,0.34437758110444255,0.856,0.21011172926685984,0.12,0.13997084244475305,0.23600000000000002,0.1439387624892571,0.052000000000000005,0.09739463170891034,0.48824685607824875,0.11476969274595729,0.16954130596758282,0.19875606155306166,0.004479335200460736,0.004108275757898304
HGB,ROS,0.06738044466046537,0.045847673269534234,0.07924235867892976,0.014257556813918599,5.0,0.0,118.2,0.40406101782088416,0.07863871904298025,0.04970819173151626,0.037973777420319176,0.027031212297085917,0.0415129655397208,0.007444260146085902,0.042301666429283576,0.00014387587872841437,0.43200000000000005,0.34843088501545466,0.88,0.18952141659173716,0.128,0.1498843091269029,0.228,0.17617245725106281,0.064,0.10253919111386495,0.5091830461108523,0.11956623845130762,0.143565371466441,0.17425164682003905,0.0037325269559271234,0.003143450066633136
HGB,SMOTE,0.04968108997650341,0.044119140833232366,0.07827708987230947,0.01209928692311279,5.0,0.0,118.2,0.40406101782088416,0.07334817379900001,0.04421193551130268,0.026984224406415167,0.024260831470263127,0.04102317521938715,0.006257078017068821,0.042301666429283576,0.00014387587872841437,0.41600000000000004,0.41174590936347016,0.86,0.17728105208558367,0.08800000000000001,0.11542291358128089,0.192,0.1614222501922918,0.04800000000000001,0.08628382211738002,0.49926936811054184,0.10572439815098654,0.15019358306239666,0.19721500532960323,0.004229750052627524,0.0025686381084181185
