metric,normal_median,defect_median,normal_p90,defect_p90,auc_defect_gt_normal,mannwhitney_p,ks_p,defect_share_above_normal_p95_nn1,share_nn1_within_5shots_normal,share_nn1_within_5shots_defect
nn1_dist,2.784625787652107,2.733826878221441,3.382640172766752,3.39762600863025,0.4732862190812721,0.6513958600356167,0.40566599201115716,0.04,0.038869257950530034,0.04
nn5_mean_dist,3.118018603900633,3.0244670768162214,3.717952488661645,3.615056499691494,0.4443109540636042,0.34591366316653094,0.4687893910605967,0.04,0.038869257950530034,0.04
nn1_idx_gap,76.0,108.0,236.0,215.2,0.5130742049469965,0.825171628883693,0.49981641568062174,0.04,0.038869257950530034,0.04
