set,model_name,algo,imbalance,fold,n_features_used,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
S0 원본,LogReg,LogReg,class_weight|feat=S0,29,21,0.038120528782668,0.36106194690265486,0.0423728813559322,118,5,0.0,0.0,0.0,0.20895745615834782,0.06896551724137931,0.6,0.036585365853658534,0.6949152542372882,0.023768839869028825,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,30,21,0.0609482884265493,0.4859649122807018,0.04201680672268908,119,5,0.0,0.2,0.2,0.005881579122263879,0.08064516129032258,1.0,0.04201680672268908,1.0,0.04691840347478791,0.08196721311475409,1.0,0.042735042735042736,0.9831932773109243
S0 원본,LogReg,LogReg,class_weight|feat=S0,31,21,0.03399045151472336,0.2867256637168142,0.0423728813559322,118,5,0.0,0.0,0.0,0.0026027765746077804,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.058824405209166465,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,32,21,0.038652646933539384,0.3752212389380531,0.0423728813559322,118,5,0.0,0.0,0.0,0.33384318735647467,0.05555555555555555,0.4,0.029850746268656716,0.5677966101694916,0.03150896888901784,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,33,21,0.04628725956233891,0.3858407079646018,0.0423728813559322,118,5,0.0,0.0,0.2,0.007300242008196657,0.08130081300813008,1.0,0.0423728813559322,1.0,0.05163347938230159,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,34,21,0.056678043304715216,0.536283185840708,0.0423728813559322,118,5,0.0,0.0,0.2,0.231863650575874,0.06521739130434782,0.6,0.034482758620689655,0.7372881355932204,0.09440382549935293,0.08771929824561403,1.0,0.045871559633027525,0.923728813559322
S0 원본,LogReg,LogReg,class_weight|feat=S0,35,21,0.040331470005309476,0.3508771929824561,0.04201680672268908,119,5,0.0,0.0,0.2,0.06467153455302938,0.08333333333333333,1.0,0.043478260869565216,0.9663865546218487,0.07702086934609165,0.08403361344537816,1.0,0.043859649122807015,0.957983193277311
S0 원본,LogReg,LogReg,class_weight|feat=S0,36,21,0.05094276910915281,0.511504424778761,0.0423728813559322,118,5,0.0,0.0,0.0,0.8070395634851326,0.0,0.0,0.0,0.059322033898305086,0.10105539396638379,0.08403361344537816,1.0,0.043859649122807015,0.9661016949152542
S0 원본,LogReg,LogReg,class_weight|feat=S0,37,21,0.04697976924292714,0.47079646017699117,0.0423728813559322,118,5,0.0,0.0,0.2,0.26689045532646954,0.1,0.8,0.05333333333333334,0.635593220338983,0.06407996918857216,0.08547008547008547,1.0,0.044642857142857144,0.9491525423728814
S0 원본,LogReg,LogReg,class_weight|feat=S0,38,21,0.03528964863673001,0.3132743362831859,0.0423728813559322,118,5,0.0,0.0,0.0,0.4527776931849657,0.0,0.0,0.0,0.3813559322033898,0.07057763229527131,0.07547169811320754,0.8,0.039603960396039604,0.8559322033898306
S0 원본,LogReg,LogReg,class_weight|feat=S0,39,21,0.05387148798913505,0.5486725663716814,0.0423728813559322,118,5,0.0,0.0,0.2,0.2520458758425357,0.10869565217391304,1.0,0.05747126436781609,0.7372881355932204,0.05976274354515387,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,40,21,0.06522588522588522,0.6456140350877193,0.04201680672268908,119,5,0.0,0.0,0.2,0.3434792725042017,0.1282051282051282,1.0,0.0684931506849315,0.6134453781512605,0.13530178849875024,0.0847457627118644,1.0,0.04424778761061947,0.9495798319327731
S0 원본,LogReg,LogReg,class_weight|feat=S0,41,21,0.036019510255034005,0.3327433628318584,0.0423728813559322,118,5,0.0,0.0,0.0,0.10351079471948328,0.0784313725490196,0.8,0.041237113402061855,0.8220338983050848,0.1195241630618435,0.0784313725490196,0.8,0.041237113402061855,0.8220338983050848
