prauc,roc_auc
0.0703156087279762,0.5418879056047198
0.08223509631220985,0.6181322775966465
0.09447598041156127,0.6205061325881075
0.050849178243370693,0.46700046576618526
0.056697383880870186,0.44263002639341725
0.10561084227811238,0.6413010402111473
0.1055714343519099,0.5578714485328365
0.13249377408985152,0.5606117062567926
0.08683845162960613,0.5181113181183046
0.09880329380633682,0.5960394348703617
0.13321470491828974,0.563181183046111
0.11616244433038755,0.6168219220617916
0.06692183451849493,0.5246514516379446
0.05109296415427479,0.444542772861357
0.1035420859767705,0.49516068933395435
0.11116502270003374,0.5895109455053563
0.07097523164675974,0.5357956839000155
0.14394775716967115,0.5699223723024376
0.09871383607754801,0.5380530973451327
0.07890636799462167,0.5367854370439373
