algo,imbalance,fold,selected,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
NestedSearch(best-of-candidates),class_weight,0,LogReg L1 C=0.05 [S0],0.06834224598930481,0.65,0.04201680672268908,119,5,0.0,0.0,0.2,0.5491089169049982,0.06451612903225806,0.2,0.038461538461538464,0.2184873949579832,0.4706845768311857,0.1282051282051282,1.0,0.0684931506849315,0.6134453781512605
NestedSearch(best-of-candidates),class_weight,1,HGB d=3 lr=.05 it=200 [S0],0.03981924422192977,0.23893805309734514,0.0423728813559322,118,5,0.0,0.0,0.2,0.5470868803726207,0.0,0.0,0.0,0.06779661016949153,0.008553676624705126,0.021052631578947368,0.2,0.011111111111111112,0.7627118644067796
NestedSearch(best-of-candidates),class_weight,2,LogReg L1 C=0.05 [S0],0.03568387636293886,0.35132743362831864,0.0423728813559322,118,5,0.0,0.0,0.0,0.5806672348527031,0.0,0.0,0.0,0.2711864406779661,0.4415110236769815,0.07317073170731707,0.6,0.03896103896103896,0.652542372881356
NestedSearch(best-of-candidates),class_weight,3,SVM RBF [S0],0.04379251726029887,0.3858407079646018,0.0423728813559322,118,5,0.0,0.0,0.2,0.0547605625428375,0.0,0.0,0.0,0.0,0.040078227933493527,0.07547169811320754,0.8,0.039603960396039604,0.8559322033898306
NestedSearch(best-of-candidates),class_weight,4,HGB d=3 lr=.05 it=200 [S0],0.04220089334870428,0.4336283185840708,0.0423728813559322,118,5,0.0,0.0,0.0,0.040989288286055345,0.03333333333333333,0.2,0.01818181818181818,0.4661016949152542,0.0037498944626591503,0.09174311926605505,1.0,0.04807692307692308,0.8813559322033898
NestedSearch(best-of-candidates),class_weight,5,SVM RBF [S0],0.03643994349876703,0.3087719298245615,0.04201680672268908,119,5,0.0,0.0,0.0,0.05834086679537005,0.0,0.0,0.0,0.01680672268907563,0.04263714388783132,0.0547945205479452,0.4,0.029411764705882353,0.5714285714285714
NestedSearch(best-of-candidates),class_weight,6,HGB d=3 lr=.05 it=200 [S0],0.06073016593207156,0.5203539823008849,0.0423728813559322,118,5,0.0,0.0,0.4,0.08403543089578835,0.09302325581395349,0.4,0.05263157894736842,0.3220338983050847,0.017243709045606306,0.075,0.6,0.04,0.635593220338983
NestedSearch(best-of-candidates),class_weight,7,HGB d=3 lr=.05 it=200 [S0],0.053615593267492,0.536283185840708,0.0423728813559322,118,5,0.0,0.0,0.0,0.022438871054598585,0.075,0.6,0.04,0.635593220338983,0.004076892401967083,0.09259259259259259,1.0,0.04854368932038835,0.8728813559322034
NestedSearch(best-of-candidates),class_weight,8,SVM RBF [S0],0.03572405055871429,0.3256637168141593,0.0423728813559322,118,5,0.0,0.0,0.0,0.07845388777256146,0.0,0.0,0.0,0.0,0.03513183819846273,0.07272727272727272,0.8,0.0380952380952381,0.8898305084745762
NestedSearch(best-of-candidates),class_weight,9,RF leaf=20 [S0],0.05451063510522564,0.5451327433628319,0.0423728813559322,118,5,0.0,0.0,0.2,0.5199064913773404,0.0,0.0,0.0,0.07627118644067797,0.3237261888442874,0.10101010101010101,1.0,0.05319148936170213,0.7966101694915254
NestedSearch(best-of-candidates),class_weight,10,kNN k=15 [S0],0.055621976063152535,0.5640350877192983,0.04201680672268908,119,5,0.0,0.0,0.2,0.05918925508978012,0.11764705882352941,0.8,0.06349206349206349,0.5294117647058824,0.0,0.08064516129032258,1.0,0.04201680672268908,1.0
NestedSearch(best-of-candidates),class_weight,11,RF 균형배깅 (subsample 30%) [S0],0.08220516124069766,0.5451327433628319,0.0423728813559322,118,5,0.0,0.2,0.4,0.16905254861069996,0.0,0.0,0.0,0.025423728813559324,0.052089842497675475,0.09433962264150944,1.0,0.04950495049504951,0.8559322033898306
NestedSearch(best-of-candidates),class_weight,12,HGB d=2 강한 규제 [S0],0.043643654363294544,0.4371681415929204,0.0423728813559322,118,5,0.0,0.0,0.0,0.31163778782751583,0.06666666666666667,0.4,0.03636363636363636,0.4661016949152542,0.11781705701147009,0.07547169811320754,0.8,0.039603960396039604,0.8559322033898306
NestedSearch(best-of-candidates),class_weight,13,HGB d=2 강한 규제 [S0],0.029841940976767817,0.18761061946902655,0.0423728813559322,118,5,0.0,0.0,0.0,0.6751589503283837,0.0,0.0,0.0,0.03389830508474576,0.12695522836479053,0.021052631578947368,0.2,0.011111111111111112,0.7627118644067796
NestedSearch(best-of-candidates),class_weight,14,RF leaf=5 [S2],0.0351940464532963,0.3150442477876106,0.0423728813559322,118,5,0.0,0.0,0.0,0.4827791645462283,0.0,0.0,0.0,0.01694915254237288,0.060828797227597535,0.0847457627118644,1.0,0.04424778761061947,0.9576271186440678
NestedSearch(best-of-candidates),class_weight,15,HGB d=3 lr=.05 it=200 [S0],0.1061488677160319,0.6824561403508771,0.04201680672268908,119,5,0.0,0.4,0.4,0.5937503559800795,0.0,0.0,0.0,0.01680672268907563,0.002260669876726731,0.0847457627118644,1.0,0.04424778761061947,0.9495798319327731
NestedSearch(best-of-candidates),class_weight,16,HGB d=3 lr=.05 it=200 [S0],0.04277131391909011,0.40884955752212393,0.0423728813559322,118,5,0.0,0.0,0.2,0.5258155847253198,0.0,0.0,0.0,0.0423728813559322,0.0031433579105317835,0.08695652173913043,1.0,0.045454545454545456,0.9322033898305084
NestedSearch(best-of-candidates),class_weight,17,HGB d=3 lr=.05 it=200 [S0],0.08836757182355405,0.4938053097345133,0.0423728813559322,118,5,0.2,0.2,0.4,0.043416033673921335,0.06779661016949153,0.4,0.037037037037037035,0.4576271186440678,0.007954527120331671,0.061224489795918366,0.6,0.03225806451612903,0.788135593220339
NestedSearch(best-of-candidates),class_weight,18,HGB d=2 lr=.05 it=100 [S0],0.03889789782174977,0.3769911504424779,0.0423728813559322,118,5,0.0,0.0,0.0,0.8015025385622865,0.0,0.0,0.0,0.0,0.043656781746305454,0.08547008547008547,1.0,0.044642857142857144,0.9491525423728814
NestedSearch(best-of-candidates),class_weight,19,kNN k=15 [S0],0.05118130457113508,0.46194690265486726,0.0423728813559322,118,5,0.0,0.0,0.4,0.1586672493782634,0.0,0.0,0.0,0.0,0.0,0.08130081300813008,1.0,0.0423728813559322,1.0
NestedSearch(best-of-candidates),class_weight,20,RF leaf=20 [S0],0.043486800453207415,0.4280701754385965,0.04201680672268908,119,5,0.0,0.0,0.0,0.624321771473548,0.0,0.0,0.0,0.01680672268907563,0.2082752390181012,0.08333333333333333,1.0,0.043478260869565216,0.9663865546218487
NestedSearch(best-of-candidates),class_weight,21,SVM RBF [S0],0.03705704195715273,0.3415929203539823,0.0423728813559322,118,5,0.0,0.0,0.0,0.07057767043302013,0.0,0.0,0.0,0.0,0.038991846077054214,0.061855670103092786,0.6,0.03260869565217391,0.7796610169491526
NestedSearch(best-of-candidates),class_weight,22,SVM RBF [S0],0.04733856662036821,0.45486725663716815,0.0423728813559322,118,5,0.0,0.0,0.2,0.05522496290673853,0.08,0.2,0.05,0.1694915254237288,0.04067946843163136,0.0821917808219178,0.6,0.04411764705882353,0.576271186440678
NestedSearch(best-of-candidates),class_weight,23,HGB d=3 lr=.05 it=200 [S0],0.03917366946778711,0.38053097345132747,0.0423728813559322,118,5,0.0,0.0,0.0,0.08525406084094153,0.038461538461538464,0.2,0.02127659574468085,0.3983050847457627,0.011235482010959466,0.08888888888888889,0.8,0.047058823529411764,0.7203389830508474
NestedSearch(best-of-candidates),class_weight,24,RF leaf=20 [S0],0.05929656428222616,0.5628318584070797,0.0423728813559322,118,5,0.0,0.0,0.2,0.6121838982575827,0.0,0.0,0.0,0.0,0.3055384110464944,0.08849557522123894,1.0,0.046296296296296294,0.9152542372881356
