algo,setting,n,n_fail,roc_auc_mean,roc_auc_std,prauc_mean,prauc_std,prauc_baseline,n_folds
LogReg,A. 원본 1182행 | 5-fold 1회 (사전관찰 재현),1182,25,0.473085908344529,0.12141378418943187,0.026282897654345817,0.009161649758457813,0.021150592216582064,5
LogReg,B. 원본 1182행 | 5-fold×10 (쌍둥이가 train/test로 갈림),1182,25,0.4527899313330348,0.09739961257978509,0.02564489755520756,0.007323132025487935,0.021150592216582064,50
LogReg,C. 원본 1182행 | 쌍 단위 묶음 5-fold×10,1182,25,0.4450081935232149,0.12480368868749869,0.026005694168843574,0.01044005623615541,0.021150592216582064,50
LogReg,D. 병합 591행 | 5-fold×10 (채택),591,25,0.436154013351964,0.1140113126415833,0.04935243886635316,0.01393266266101923,0.04230118443316413,50
RF,A. 원본 1182행 | 5-fold 1회 (사전관찰 재현),1182,25,0.5960225406777131,0.1099889334187763,0.04650394437380205,0.029883701007712583,0.021150592216582064,5
RF,B. 원본 1182행 | 5-fold×10 (쌍둥이가 train/test로 갈림),1182,25,0.5240862068965517,0.09873113536923427,0.03550316553634196,0.014924680885344568,0.021150592216582064,50
RF,C. 원본 1182행 | 쌍 단위 묶음 5-fold×10,1182,25,0.5131549709232113,0.11688330004386248,0.03760470957035962,0.020057327420607535,0.021150592216582064,50
RF,D. 병합 591행 | 5-fold×10 (채택),591,25,0.4971533923303834,0.10986647165991979,0.07785463595729959,0.05511846016998756,0.04230118443316413,50
