algo,imbalance,f1_F1max_mean,f1_F1max_std,f1_Recall80_mean,f1_Recall80_std,flag_rate_F1max_mean,flag_rate_F1max_std,flag_rate_Recall80_mean,flag_rate_Recall80_std,n_pos_test_mean,n_pos_test_std,n_test_mean,n_test_normals_mean,n_test_normals_std,n_test_std,n_train_normals_mean,n_train_normals_std,prauc_mean,prauc_std,precision_F1max_mean,precision_F1max_std,precision_Recall80_mean,precision_Recall80_std,prevalence_mean,prevalence_std,recall_F1max_mean,recall_F1max_std,recall_Recall80_mean,recall_Recall80_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,recall_at_5_mean,recall_at_5_std,roc_auc_mean,roc_auc_std,thr_F1max_mean,thr_F1max_std,thr_Recall80_mean,thr_Recall80_std
IsolationForest,normal_only,0.042296683252510396,0.03964273321621264,0.07080290263672478,0.016976702645742612,0.5251531120922945,0.4266914593648567,0.8625993448226749,0.05680247732983497,5.0,0.0,118.2,113.2,0.40406101782088416,0.40406101782088416,452.8,0.4040610178208837,0.06912437325748623,0.04797907572510452,0.023018075924073803,0.02282183839992909,0.03712821885469122,0.008844996896987358,0.042301666429283576,0.00014387587872841437,0.44,0.4407785320154718,0.764,0.20874747951551811,0.124,0.13334013588089183,0.15600000000000003,0.14165206007132045,0.052000000000000005,0.09739463170891036,0.42865890389691047,0.11441763909656497,0.5206708485064674,0.25743838034520744,0.3388198368305329,0.02712306957970979
Mahalanobis,normal_only,0.05208419453466042,0.03860838647909548,0.07535164440874015,0.018224632017310654,0.43216208517305227,0.33240975198086764,0.7993106395100413,0.058920123284385756,5.0,0.0,118.2,113.2,0.40406101782088416,0.40406101782088416,452.8,0.4040610178208837,0.05743138640022719,0.02277260667553145,0.029265009509543697,0.022066202598756787,0.03966235767385629,0.00952956191950195,0.042301666429283576,0.00014387587872841437,0.364,0.37837461191096783,0.7559999999999999,0.2110807950544443,0.07200000000000001,0.11255837487766979,0.196,0.16408061731841406,0.016,0.054809503123573945,0.46562335041142683,0.12314982342971147,0.5642737989511203,0.20963420831868684,0.37021755194734973,0.027698972786713
OneClassSVM,normal_only,0.05009086556316028,0.03693594319768088,0.07187229915932339,0.015901471509859613,0.5124967953283008,0.40151585142014484,0.8602606466315339,0.05878619331556424,5.0,0.0,118.2,113.2,0.40406101782088416,0.40406101782088416,452.8,0.4040610178208837,0.055807599525000626,0.021753443463271824,0.027929872057330277,0.021190426352964607,0.037698763800907066,0.00828942131537596,0.042301666429283576,0.00014387587872841437,0.43200000000000005,0.42447566695481465,0.772,0.1979898987322333,0.09600000000000002,0.12929952570268297,0.188,0.13648652471424214,0.004,0.028284271247461905,0.4333246390312063,0.11897168973470469,0.4623461569416054,0.2540779458719186,0.2970499405508896,0.039657762799458506
LOF,normal_only,0.06238175127672641,0.02439597656819536,0.07312752463323942,0.01650929668465885,0.7402250391682097,0.2902639363453462,0.86917105825381,0.06403668116218518,5.0,0.0,118.2,113.2,0.40406101782088416,0.40406101782088416,452.8,0.4040610178208837,0.049037762628562166,0.015558870826252735,0.03326093706823226,0.013061301367412927,0.038342902330603376,0.008625899677773137,0.042301666429283576,0.00014387587872841437,0.632,0.3644621421509023,0.792,0.19778363771287752,0.036000000000000004,0.07761758689832071,0.1,0.12936264483053453,0.004,0.028284271247461894,0.4293532060239093,0.1283262334352301,0.4112259827529104,0.14762915084163997,0.3747866590281521,0.02079642088523364
