setting,n,n_fail,roc_auc_mean,roc_auc_std,prauc_mean,prauc_std,prauc_baseline(=fail_rate)
원본 행 그대로 (쌍둥이 train/test 분리 가능),1182,25,0.5197761233019854,0.09779929126904707,0.035792642209183406,0.019015238451171916,0.021150592216582064
"쌍 병합, 라벨=max (591행)",591,25,0.49755581431454743,0.10923584707387443,0.07856234666184372,0.054903025827652246,0.04230118443316413
