scheme,algo,imbalance,n_train_first,n_pos_train_first,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80
holdout 70/30,LogReg,class_weight,413,19,0.05443335957236968,0.5988372093023255,0.033707865168539325,178,6,0.0,0.16666666666666666,0.16666666666666666,7.573694818906736e-05,0.06521739130434782,1.0,0.033707865168539325,0.004820352306224781,0.06521739130434782,1.0,0.033707865168539325
holdout 70/30,LogReg,ROS,413,19,0.06368108235397069,0.6337209302325582,0.033707865168539325,178,6,0.0,0.16666666666666666,0.5,2.1720185150039454e-05,0.06521739130434782,1.0,0.033707865168539325,0.0024603878754473926,0.06521739130434782,1.0,0.033707865168539325
holdout 70/30,LogReg,SMOTE,413,19,0.05833145730843941,0.6046511627906976,0.033707865168539325,178,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0200074464769829e-05,0.06521739130434782,1.0,0.033707865168539325,0.0015863585855488559,0.06521739130434782,1.0,0.033707865168539325
holdout 70/30,RF,class_weight,413,19,0.21035204252232115,0.6390503875968992,0.033707865168539325,178,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03666666666666667,0.07142857142857142,1.0,0.037037037037037035,0.03666666666666667,0.07142857142857142,1.0,0.037037037037037035
holdout 70/30,RF,ROS,413,19,0.2088963115082518,0.5944767441860465,0.033707865168539325,178,6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.023333333333333334,0.06896551724137931,1.0,0.03571428571428571,0.01,0.06557377049180328,1.0,0.03389830508474576
holdout 70/30,RF,SMOTE,413,19,0.05771427295974511,0.626453488372093,0.033707865168539325,178,6,0.0,0.16666666666666666,0.3333333333333333,0.0,0.06521739130434782,1.0,0.033707865168539325,0.013333333333333334,0.06521739130434782,1.0,0.033707865168539325
holdout 70/30,HGB,class_weight,413,19,0.09667418976585895,0.6928294573643411,0.033707865168539325,178,6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.00017136066394947492,0.06521739130434782,1.0,0.033707865168539325,0.0005162124539255112,0.06557377049180328,1.0,0.03389830508474576
holdout 70/30,HGB,ROS,413,19,0.12662171404931755,0.5901162790697674,0.033707865168539325,178,6,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.00014999615689272584,0.06521739130434782,1.0,0.033707865168539325,0.00043541722764089193,0.06593406593406594,1.0,0.03409090909090909
holdout 70/30,HGB,SMOTE,413,19,0.0970698602616141,0.6579457364341086,0.033707865168539325,178,6,0.16666666666666666,0.3333333333333333,0.5,9.674486216429363e-05,0.06521739130434782,1.0,0.033707865168539325,0.0001691768108376469,0.06521739130434782,1.0,0.033707865168539325
expanding window (4분할),LogReg,class_weight,119,4,0.030802837749882815,0.30366381585893776,0.04449152542372881,472,21,0.0,0.0,0.0,0.35165608070350324,0.06267806267806268,0.5238095238095238,0.03333333333333333,0.042792582355642414,0.06941431670281994,0.7619047619047619,0.03636363636363636
expanding window (4분할),LogReg,ROS,119,4,0.03042758859870769,0.2939499524865379,0.04449152542372881,472,21,0.0,0.0,0.047619047619047616,0.341925350267736,0.062322946175637405,0.5238095238095238,0.03313253012048193,0.023558621650971057,0.06794055201698514,0.7619047619047619,0.035555555555555556
expanding window (4분할),LogReg,SMOTE,119,4,0.030573012993118556,0.2958504909724422,0.04449152542372881,472,21,0.0,0.0,0.09523809523809523,0.3309557692721197,0.062322946175637405,0.5238095238095238,0.03313253012048193,0.016786270974942202,0.07203389830508475,0.8095238095238095,0.037694013303769404
expanding window (4분할),RF,class_weight,119,4,0.057083349934471284,0.4436173582515046,0.04449152542372881,472,21,0.047619047619047616,0.09523809523809523,0.2857142857142857,0.13916666666666666,0.07692307692307691,0.3333333333333333,0.043478260869565216,0.030000000000000002,0.06930693069306931,0.6666666666666666,0.03655352480417755
expanding window (4분할),RF,ROS,119,4,0.050768427745615796,0.4580297751029458,0.04449152542372881,472,21,0.047619047619047616,0.09523809523809523,0.2857142857142857,0.1408333333333333,0.06837606837606838,0.19047619047619047,0.041666666666666664,0.016666666666666666,0.07957559681697611,0.7142857142857143,0.042134831460674156
expanding window (4분할),RF,SMOTE,119,4,0.037202296288176215,0.3957343469538592,0.04449152542372881,472,21,0.0,0.047619047619047616,0.09523809523809523,0.16916666666666666,0.05319148936170213,0.23809523809523808,0.029940119760479042,0.035,0.0827250608272506,0.8095238095238095,0.04358974358974359
expanding window (4분할),HGB,class_weight,119,4,0.042079237588533366,0.4477351916376307,0.04449152542372881,472,21,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.13819231751749758,0.05063291139240506,0.19047619047619047,0.029197080291970802,0.0021296108561975426,0.09433962264150944,0.9523809523809523,0.04962779156327544
expanding window (4분할),HGB,ROS,119,4,0.04852616088672984,0.42292260584943514,0.04449152542372881,472,21,0.09523809523809523,0.14285714285714285,0.19047619047619047,0.12476233593243398,0.11612903225806451,0.42857142857142855,0.06716417910447761,0.001443467568999622,0.09254498714652958,0.8571428571428571,0.04891304347826087
expanding window (4분할),HGB,SMOTE,119,4,0.04211369452981116,0.4498996938021328,0.04449152542372881,472,21,0.0,0.047619047619047616,0.14285714285714285,0.09906624696485572,0.10970464135021095,0.6190476190476191,0.06018518518518518,0.0016437481237113957,0.08816705336426912,0.9047619047619048,0.046341463414634146
변화점 이전→이후,LogReg,class_weight,340,15,0.03756096494843668,0.3966804979253112,0.0398406374501992,251,10,0.0,0.1,0.1,0.36569717235982174,0.05622489959839357,0.7,0.029288702928870293,0.1618110634991196,0.07751937984496124,1.0,0.04032258064516129
변화점 이전→이후,LogReg,ROS,340,15,0.03679169733445944,0.39253112033195015,0.0398406374501992,251,10,0.0,0.0,0.1,0.39792149298174395,0.04897959183673469,0.6,0.02553191489361702,0.12041331166360161,0.07722007722007722,1.0,0.040160642570281124
