n_defects,mde_alpha05,mde_bonferroni
5,1.2802782276844342,1.785436551250416
6,1.168728775309166,1.629873123523469
7,1.082032591363784,1.508969297837098
8,1.012148809551613,1.4115115299168164
9,0.9542630490717826,1.3307858327029056
10,0.905293416601158,1.262494292767492
11,0.8631634050195287,1.2037410772898756
12,0.82641604238896,1.1524943381171442
13,0.7939948508559049,1.1072807438010852
14,0.7651125828181842,1.0670024231029152
15,0.739168979391225,1.0308222734854247
16,0.7156972868038369,0.9980893745271793
17,0.694328355167105,0.9682889211722883
18,0.6747658730344086,0.9410076866112109
19,0.6567688731250886,0.9159096253022512
20,0.6401391138422171,0.892718275625208
21,0.6247118078958289,0.8712038303051292
22,0.6103486969613792,0.8511734785444711
23,0.596932801600561,0.832464084424508
24,0.584364387654583,0.8149365617617345
25,0.5725578294430695,0.7984714996217434
26,0.5614391432674117,0.7829657226190314
27,0.5509440282593068,0.7683295587447629
28,0.541016295681892,0.754484648918549
29,0.5316065988217479,0.7413621757349869
30,0.5226713977702745,0.7289014197796776
31,0.5141721094245858,0.7170485742466755
32,0.5060744047758065,0.7057557649584082
33,0.49834762424265894,0.6949802350079198
34,0.49096428830876154,0.6846836623087313
35,0.4838996856319345,0.6748315851847755
36,0.4771315245358913,0.6653929163514528
37,0.4706396366709706,0.6563395296500231
38,0.4644057238589975,0.6476459070052517
39,0.45841314087683344,0.6392888355020455
40,0.452646708300579,0.631247146383746
41,0.4470925506144953,0.6235014892838219
42,0.44173795565044843,0.616034136204451
43,0.4365712521140371,0.6088288107182338
44,0.43158170250976435,0.6018705386449378
45,0.4267594092281447,0.595145517083472
46,0.42209523192444065,0.5886409991908204
47,0.4175807146188315,0.5823451925181836
48,0.41320802119448,0.5762471690585721
49,0.4089698781736211,0.5703367854441025
50,0.4048595238206451,0.5646046119667265
51,0.4008706627617181,0.5590418692921528
52,0.39699742542795247,0.5536403719005426
53,0.3932343317276867,0.5483924774249905
54,0.38957625843638866,0.5432910411744897
55,0.38601840986276986,0.538329375225798
56,0.3825562914090921,0.5335012115514576
57,0.37918568569413713,0.528800668721624
58,0.3759026309503744,0.5242222217774222
59,0.3727034014436875,0.5197606749249004
60,0.3695844896956125,0.5154111367427123
61,0.36654259031520914,0.5111689976345428
62,0.3635745852711162,0.5070299092899698
63,0.36067753045459466,0.5029897659456994
64,0.35784864340191846,0.49904468726358964
65,0.3550852920597221,0.4951910026631511
66,0.3523849844901896,0.49142523696472057
67,0.3497453594245599,0.48774409721567086
68,0.3471641775835525,0.48414446058614413
69,0.34463931369220135,0.4806233632331851
70,0.34216874912437945,0.4771779900430221
71,0.3397505651191598,0.4738056651708127
72,0.3373829365172043,0.47050384330560546
73,0.3350641259707166,0.46727010159571786
74,0.3327924785852162,0.46410213217632035
75,0.33056641695558403,0.4609977352468577
76,0.3283844365625443,0.4579548126511256
77,0.32624510149905633,0.4549713619174273
78,0.32414704049903303,0.4520454707203477
79,0.32208894324343174,0.44917531172934083
80,0.32006955692110856,0.446359137812604
81,0.31808768302392754,0.4435952775676352
82,0.31614217435749936,0.4408821311525019
83,0.31423193225060936,0.438218166394195
84,0.31235590394791446,0.4356019151525646
85,0.3105130801718528,0.43303196992023435
86,0.3087024928409375,0.4305069806406041
87,0.30692321293271757,0.4280256517276013
88,0.3051743484806896,0.42558673927223556
89,0.30345504269534834,0.42318904842227356
90,0.301764472200386,0.42083143092249725
91,0.30010184537579204,0.41851278280404225
92,0.2984664008002805,0.416232042212254
93,0.2968574057860824,0.4139881873633555
94,0.2952741549997002,0.4117802346209931
95,0.29371596916272663,0.40960723668443905
96,0.2921821938272915,0.40746828088086723
97,0.29067219822112467,0.40536248755471355
98,0.2891853741576037,0.40328900854766186
99,0.2877211350065096,0.4012470257632919
100,0.28627891472153477,0.3992357498108717
101,0.28485816692088106,0.397254418723188
102,0.28345836401755653,0.39530229674368483
103,0.2820789963962271,0.39337867317852654
104,0.28071957163370587,0.3914828613095157
105,0.2793796137603727,0.38961419736409203
106,0.2780586625600076,0.3877720395389015
107,0.27675627290569943,0.385955767073675
108,0.2754720141296534,0.38416477937238147
109,0.27420546942487045,0.38239849516882823
110,0.2729562352768127,0.38065635173407925
111,0.2717239209232925,0.37893780412323314
112,0.270508147840946,0.3772423244592745
113,0.26930854925675596,0.3755694012518598
114,0.26812476968319515,0.37391853874904135
115,0.2669564644756499,0.37228925632006477
116,0.26580329941087394,0.37068108786749343
117,0.2646649502853016,0.3690935812670284
118,0.2635411025321236,0.36752629783349383
119,0.26243145085609837,0.36597881181155706
120,0.26133569888513725,0.3644507098898388
121,0.2602535588377589,0.36294159073715615
122,0.25918475120556694,0.3614510645597155
123,0.25812900444995523,0.3599787526781471
124,0.2570860547122929,0.3585242871233377
125,0.2560556455368868,0.35708731025008317
126,0.25503752760606135,0.3556674743676384
127,0.2540314584867344,0.35426444138630003
128,0.2530372023879032,0.3528778824792041
129,0.25205452992849126,0.351507477758572
130,0.25108321791503524,0.3501529159656798
131,0.25012304912872424,0.3488138941738698
132,0.24917381212132947,0.3474901175039599
133,0.24823530101958816,0.34618129885144416
134,0.24730731533763267,0.3448871586249115
135,0.246389659797075,0.3436074244951416
136,0.24548214415438077,0.34234183115436567
137,0.2445845830351868,0.3410901200852111
138,0.24369679577523332,0.33985203933887037
139,0.24281860626760227,0.33862734332206396
140,0.24194984281596724,0.33741579259238774
141,0.24109033799357865,0.3362171536616577
142,0.24023992850771955,0.3350311988068844
143,0.23939845506938476,0.33385770588853136
144,0.23856576226794565,0.3326964581757264
